target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
R03BB01,271,1531,100,62.93,53.19,73.78,53.93,50.8,58.52,-9,-19.01,2.76,0.110,1.17,0.95,1.36
R03BB04,150,1590,93.33,64.5,47.78,81.64,54.02,49.42,57.16,-10.48,-27.22,6.07,0.250,1.19,0.89,1.53
R05CB01,1814,1733,100,63.24,60.26,66.19,50.38,47.22,54.24,-12.86,-16.8,-7.95,0.002,1.26,1.15,1.35
R05CB02,109,2225,96.67,59.96,45.82,76.13,45.7,42.57,48.53,-14.27,-30.06,-0.13,0.044,1.31,1,1.68
R05DA01,1706,1759,100,52.27,49.37,55.89,63.01,59.17,65.31,10.73,5.94,13.85,<0.001,0.83,0.78,0.9
R05FA02,404,3572,100,49.44,42.44,55.8,58.4,56.11,60.67,8.95,2.56,16.3,0.010,0.85,0.72,0.95
S01AA01,2152,4064,100,62.69,59.76,65.92,60.02,57.27,62.38,-2.67,-6.39,0.84,0.136,1.04,0.99,1.11
S01AA13,788,4999,100,66.97,62.34,71.32,62.5,60.54,64.94,-4.47,-9.06,0.68,0.078,1.07,0.99,1.15
S01AA30,161,5276,100,62.71,51.8,74.3,62.52,60.25,64.65,-0.19,-12.05,11.01,0.922,1,0.82,1.2
S01BA01,531,6640,96.67,53.18,45.7,61.95,63.17,61.26,64.8,9.99,1.29,17.83,0.028,0.84,0.72,0.98
S01BA04,185,6813,100,60.3,48.74,70.76,63.05,61.2,64.47,2.75,-7.53,14.21,0.592,0.96,0.78,1.12
S01BC03,346,6638,100,66.18,59.44,72.24,62.26,60.68,64.05,-3.91,-10.18,3.27,0.284,1.06,0.95,1.16
S01BC10,459,5453,93.33,54.35,46.83,63.24,60.95,58.84,62.86,6.6,-2.5,13.99,0.192,0.89,0.77,1.04
S01BC11,142,4626,93.33,94.48,54.8,100,60.47,57.28,63.34,-34.01,-41.08,6.84,0.092,1.56,0.89,1.7
S01CA01,1455,5551,100,61.62,58.16,65.4,62.35,59.59,64.04,0.74,-3.95,4.02,0.890,0.99,0.94,1.06
S01ED01,117,7797,93.33,66.77,47.54,84.1,61.89,60.15,63.58,-4.88,-22.64,13.61,0.596,1.08,0.78,1.37
S01ED51,169,7649,76.67,61.27,38.93,81.66,62.28,60.23,63.76,1.01,-19.46,23,0.990,0.98,0.63,1.31
S01EE01,164,7693,93.33,71.24,55.51,86.4,61.9,60.24,63.67,-9.34,-24.82,6.76,0.270,1.15,0.89,1.4
S01GX02,186,8091,100,70.39,56.3,82.09,63.18,61.49,64.75,-7.21,-19.49,7.42,0.278,1.11,0.88,1.31
S01XA20,1026,6844,100,64.91,59.6,69.97,62.16,60.49,64.18,-2.75,-7.88,2.57,0.268,1.04,0.96,1.13
V08BA01,101,65,100,65.88,43.58,90.7,48.73,28.19,86.02,-17.14,-47.5,28.37,0.458,1.35,0.65,2.53
