target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A06AD11,395,4751,100,72.8,65.44,79.46,55.87,53.95,58.14,-16.93,-23.62,-9.36,0.002,1.3,1.16,1.43
A06AD65,572,4487,100,55.68,47.04,64.39,55.22,53.23,57.46,-0.46,-9.49,8,0.994,1.01,0.86,1.17
A06AG10,44,4768,65.52,58.99,23.7,90.11,55.5,53.41,57.58,-3.49,-34.81,32.06,0.874,1.06,0.42,1.63
A06AG11,59,4830,82.76,74.41,51.28,97.81,55.74,53.56,57.9,-18.67,-41.99,4.82,0.106,1.33,0.92,1.75
A07AA02,199,6455,100,67.48,57.23,77.17,59.25,57.5,61.19,-8.23,-17.26,2.29,0.084,1.14,0.96,1.29
A07DA03,179,6418,100,59.44,49.36,71.65,59.54,57.61,61.25,0.09,-11.83,9.94,0.966,1,0.83,1.2
A10AB05,47,6609,41.38,48.59,1.91,100,60.01,58.09,61.82,11.43,-40.93,58.28,0.986,0.81,0.03,1.69
A10AC01,42,6571,37.93,19.18,0.78,99.5,59.97,57.81,61.7,40.79,-39.55,59,0.324,0.32,0.01,1.66
A10BA02,133,6155,100,59.08,40.87,74.12,60.43,58.32,62.24,1.35,-13.82,18.4,0.752,0.98,0.69,1.23
A11CC05,453,4759,96.55,53.16,37.62,75.75,57.26,54.12,59.52,4.1,-18.35,19.05,0.698,0.93,0.67,1.33
A11GA01,51,5896,82.76,96.11,81.6,100,59.65,57.98,61.67,-36.45,-41.58,-21.09,0.002,1.61,1.35,1.71
A12BA01,116,6490,96.55,71.48,54.7,88.22,58.91,57.08,60.79,-12.57,-29.84,4.27,0.120,1.21,0.93,1.51
A12BA02,35,6546,82.76,55.77,14.17,99.96,59.29,57.26,61.04,3.52,-40.52,45.16,0.976,0.94,0.24,1.68
