target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
N05CM02,64,10000,73.33,99.13,96.74,100,59.86,58.56,61.23,-39.27,-41.17,-36.53,0.002,1.66,1.6,1.7
N06AA09,225,10000,93.33,54.68,44.05,65.04,59.59,57.99,60.78,4.91,-5.78,15.16,0.450,0.92,0.75,1.1
N06AB04,126,10000,96.67,65.25,53.38,77.86,59.12,57.64,60.35,-6.13,-19.49,5.84,0.226,1.1,0.9,1.33
N06AB06,87,10000,96.67,84.06,60.11,96.8,59.42,57.75,60.64,-24.64,-37.79,-0.19,0.050,1.41,1,1.65
N06AB10,446,10000,100,70.66,64.07,76.07,59.29,57.57,60.44,-11.37,-17.3,-4.9,0.002,1.19,1.08,1.3
N06AX03,372,10000,100,49.86,42.53,56.52,59.43,57.7,60.63,9.57,2.53,16.33,<0.001,0.84,0.72,0.96
N06AX11,346,10000,100,60.98,47.6,72.13,58.42,57.38,60.34,-2.57,-13.48,11.61,0.828,1.04,0.8,1.23
N06AX16,97,10000,100,57.66,34.3,79.04,59.19,57.63,60.36,1.53,-19.62,24.28,0.862,0.97,0.59,1.33
N06DA02,158,10000,93.33,83.15,72.4,93.23,56.83,55.8,58.67,-26.32,-36.06,-14.62,0.002,1.46,1.25,1.63
N06DA03,723,10000,93.33,83.49,78.33,89.18,56.21,56.16,59.08,-27.28,-32.03,-20.85,0.002,1.49,1.36,1.56
N06DX01,67,10000,83.33,99.97,98.31,100,56.88,55.8,58.67,-43.09,-44.05,-40.37,0.002,1.76,1.69,1.79
N07BB04,99,8362,73.33,55.27,35.39,94.55,56.37,53.21,59.89,1.1,-38.82,22.61,0.708,0.98,0.61,1.67
P01AB01,331,114,96.67,43.11,34.48,51.44,33.63,9.83,61.15,-9.48,-33.49,19.04,0.424,1.28,0.68,4.46
P01BB51,92,342,86.67,11.97,3.73,24.28,41.9,33.25,50.37,29.93,15.37,41.56,<0.001,0.29,0.09,0.6
R01AD09,343,4335,100,47.09,38.98,54.17,46.55,44.42,48.58,-0.54,-7.65,7,0.960,1.01,0.85,1.16
R01AD12,126,4100,90,52.26,31.1,79.07,44.33,41.97,46.49,-7.93,-34.07,13.17,0.586,1.18,0.71,1.75
R01BA01,151,4992,100,31.16,17.8,46.37,47.16,44.93,48.81,16.01,0.48,29.34,0.042,0.66,0.38,0.99
R03AC02,454,4104,100,51.57,42,61.91,46.77,44.49,49.01,-4.8,-15.85,5.67,0.346,1.1,0.88,1.34
R03AK06,74,4412,83.33,35.94,16.78,65.41,47.21,45.05,49.25,11.27,-19.22,31.19,0.432,0.76,0.34,1.41
R03AK07,97,4366,100,34.65,20.75,51.26,46.59,44.39,48.87,11.95,-4.95,26.27,0.140,0.74,0.44,1.11
R03BA05,52,5037,86.67,25.45,8.46,52.65,46.11,43.63,47.94,20.67,-6.72,37.55,0.148,0.55,0.18,1.15
R03BB01,91,5007,96.67,58.9,31.85,84.06,45.99,44.22,48.16,-12.91,-37.59,14.05,0.338,1.28,0.69,1.83
R03BB04,54,4941,76.67,40.51,14.92,82.22,45.97,43.64,47.8,5.46,-36.14,30.43,0.806,0.88,0.32,1.79
R05CB01,948,3601,100,51.88,47.45,56.51,43.15,41.13,45.86,-8.73,-13.02,-3.14,0.002,1.2,1.07,1.3
R05CB02,48,4279,66.67,49.64,24.08,87.15,42.41,40.54,44.74,-7.23,-43.97,18.54,0.568,1.17,0.56,2.05
R05DA01,1090,3398,100,38.98,34.84,42.79,49.89,46.41,51.37,10.91,5.75,14.25,<0.001,0.78,0.71,0.88
R05FA02,227,4929,100,38.21,29.92,46.8,47.23,45.41,49.5,9.02,0.65,17.07,0.040,0.81,0.63,0.99
R06AD01,270,4180,100,51.01,41.98,59.6,46.62,44.39,48.69,-4.39,-12.96,4.58,0.300,1.09,0.9,1.28
R06AE07,375,3872,100,47.52,40.53,54.32,46.43,44.18,48.57,-1.09,-8.14,6.42,0.808,1.02,0.86,1.18
R06AX13,76,4259,100,46.86,27.49,71.4,46.49,44.59,48.59,-0.37,-24.93,19.13,0.962,1.01,0.59,1.54
R06AX27,132,4149,93.33,37.85,22.94,55.26,46.7,44.42,48.61,8.85,-8.36,23.5,0.252,0.81,0.49,1.18
S01AA01,1308,2919,100,56.34,52.45,60.06,53.52,50.48,56.67,-2.82,-7.3,2.15,0.256,1.05,0.96,1.14
S01AA13,422,3495,100,62.34,56.44,68.37,55.84,53.59,58.59,-6.51,-12.97,-0.2,0.036,1.12,1,1.23
S01AA30,94,3618,96.67,58.06,39.62,77.25,56.05,53.46,58.6,-2.01,-21.67,17.1,0.774,1.04,0.7,1.39
S01BA01,319,4388,100,43.7,32.81,53.74,56.73,54.42,58.6,13.03,2.16,23.09,0.026,0.77,0.58,0.96
S01BA04,117,4497,100,56.32,39.08,71.5,56.49,54.14,58.46,0.18,-14.95,17.23,0.820,1,0.7,1.27
S01BC03,215,4378,100,56.87,48.52,67.12,55.98,53.94,58.21,-0.9,-11.93,9.02,0.722,1.02,0.84,1.22
S01BC10,281,3595,93.33,52.9,40.25,67.11,55.25,52.62,57.93,2.35,-12.68,15.2,0.810,0.96,0.73,1.23
S01BC11,86,3018,96.67,100,37.51,100,55.04,47.42,58.74,-44.96,-52.14,16.66,0.138,1.82,0.69,2.09
S01CA01,876,3745,100,54.82,50.31,60.22,56.03,53.53,57.98,1.21,-4.76,5.71,0.786,0.98,0.9,1.09
S01ED01,82,4986,100,61.3,28.94,85.03,55.01,52.86,57.06,-6.29,-30.85,26.26,0.758,1.11,0.53,1.56
S01ED51,123,4895,66.67,61.49,32.36,89.43,55.27,53.18,57.03,-6.22,-34.34,22.89,0.628,1.11,0.59,1.62
S01EE01,107,4933,76.67,66.09,38.24,94.6,54.75,52.86,56.85,-11.34,-39.87,16.76,0.482,1.21,0.7,1.73
S01GX02,103,5314,96.67,54.45,24.2,82.45,56.76,54.51,58.64,2.31,-26.58,32.98,0.874,0.96,0.42,1.48
