target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
C09CA01,281,10000,100,63.53,61.92,64.61,51.56,43.18,60.28,11.97,2.76,20.12,0.008,0.81,0.68,0.96
C09CA03,165,10000,100,63.49,60.3,64.66,63.59,48.03,73.65,-0.1,-11.14,14.39,0.750,1,0.77,1.18
C09CA06,410,9913,100,63.52,61.97,64.7,63.98,56.43,70.67,-0.47,-7.55,7.16,0.870,1.01,0.89,1.12
C09DA01,116,10000,89.66,61.07,59.21,63.32,59.92,38.75,75.41,1.15,-14.39,22.85,0.922,0.98,0.63,1.24
C09DA06,138,10000,96.55,63.69,60.45,64.8,64.13,46.3,78.88,-0.44,-15.71,16.83,0.974,1.01,0.74,1.25
C10AA01,569,7219,100,62.78,59.28,64.54,61.42,55.62,67.59,1.36,-4.92,6.26,0.940,0.98,0.9,1.08
C10AA05,811,8268,89.66,63.59,61.51,65.09,58.84,51.83,64.29,4.74,-0.58,11.4,0.102,0.93,0.82,1.01
C10AX09,105,9835,51.72,63.26,61.3,65.46,11.14,1.09,65.83,52.12,-2.99,61.96,0.066,0.18,0.02,1.05
D01AC01,284,7095,100,57.71,53.72,59.36,59.77,51.15,70.19,-2.06,-12.73,5.39,0.432,1.04,0.9,1.22
D01AC08,358,6888,100,57.27,55.46,58.79,55.38,47.91,63,1.89,-5.86,9.32,0.590,0.97,0.84,1.1
D01AC20,1066,6367,100,57.46,55.84,59.33,60.5,56.71,64.96,-3.04,-7.57,1.28,0.162,1.05,0.98,1.13
D01AE15,318,6993,100,56.76,54.46,58.37,62.07,53.98,68.98,-5.31,-12.32,2.38,0.174,1.09,0.96,1.22
D01BA02,281,9002,100,58.69,53.91,60.18,52.4,42.75,59.76,6.29,-1.59,15.86,0.126,0.89,0.73,1.03
D02AE01,171,8682,51.72,55.1,51.92,57,45.8,18.17,74.36,9.31,-19.85,36.01,0.396,0.83,0.33,1.37
D05AX52,151,9124,100,58.52,54.16,59.83,55.31,43.31,67.3,3.21,-9.11,14.41,0.534,0.95,0.75,1.16
D06AX01,719,8129,100,57.56,56.09,59.23,58.31,53.27,62.92,-0.75,-5.78,4.64,0.696,1.01,0.92,1.1
D06BB03,104,8918,96.55,55.36,53.97,59.83,49.09,36.18,64.43,6.28,-7.95,20.05,0.414,0.89,0.64,1.14
D06BB10,171,8703,96.55,58.31,53.91,59.78,57.67,44.7,68.98,0.65,-12.16,13.51,0.922,0.99,0.77,1.21
D06BX01,104,8757,100,58.41,54.12,59.71,50.39,31.99,69.25,8.02,-11.78,24.56,0.438,0.86,0.57,1.2
